Word,Function,Definition,Origin,,,,,,
busana,Objects and Concept,fashion,Sanskrit,,भूषण,,(bhūṣaṇa),,
butaw,Action,dislike,Sinitic,,不好,,,,
butdan,Particle,not only (compounding clause conjunction),Sinitic,,不但,,,,
buthaw,Action,dislike,Sinitic,,不好,,,,
butkasi'i,Quality,mysterious,Sinitic,,不可思議,,,,
bungat,Action,"to separate, divide (see also ""kelu"")",Sinitic,,分割,,,,
butgwijekdek,Quality,"irregular, abnormal, irratic",Sinitic,,不規則的,,,,
buwaya,Objects and Concept,croc/allegator,Austronesian,ms/id,buaya,tl,buwaya,,
byuyu,Quality,"rich, wealthy",Sinitic,,富有,,,,
byusyang,Action,"injure, get hurt",Sinitic,,負傷,,,,
ja,Quality,left,Sinitic,,左,,,,
ca'i,Objects and Concept,difference,Sinitic,,差異,,,,
jak,Action,make,Sinitic,,作,,,,
calat,Quality,smart,Austroasiatic,th,ฉลาด,km,ឆ្លាត,,
calenji,Objects and Concept,challenge,Western: English,en,challenge,,,,
camuk,Action,"chew, crush (in mouth)",Sound-based,,,,,,
can,Objects and Concept,plate,Austroasiatic,th,จาน,lo,ຈານ,km,ចាន
"canda, candala",Objects and Concept,"month, moon",Sanskrit,,चन्द्र ,,(candrá),,
candahali,Objects and Concept,monday,Compound,,canda + hali,,,,
cata,Objects and Concept,"six (staldalone; also see ""luk"")",Sanskrit,,षष्ठ,,ṣaṣṭhá,,
catul,Objects and Concept,"four (standalone; also see ""si"")",Sanskrit,,चतुर्,,cátur,,
caw,Quality,"super, very (informal)",Sinitic,,超,,,,
cawwat,Quality,"surpass, go beyond, overcome, transcend",Sinitic,,超越,,,,
caya,Objects and Concept,shadow,Sanskrit,,छाया,,chāyā,,
caycu,Action,"harvest, collect, gather",Sinitic,,採取,,,,
jeknyo,Objects and Concept,weaver woman; Vega (in Chinese Cosmology),Sinitic,,織女 ,,,,
cen,Objects and Concept,thousand,Sinitic,,千,,,,
ceng,Action,"please, request",Sinitic,,請,,,,
ceng jeluk,Objects and Concept,"lime (fruit) (see ""jeluk"")",Compound,,,,,,
cenglamsyek,Quality,blue,Sinitic,,靑覽色,,,,
cengsyek,Quality,green,Sinitic,,靑綠色,,,,
cengloksyek,Quality,blue-green,Sinitic,,靑色,,,,
cetcu,Action,steal,Sinitic,,竊取,,,,
cetmang,Objects and Concept,despair,Sinitic,,切望,,,,
cey,Action,to be,N/A,,,,,,
jeyhan,Quality,"limited, restricted",Sinitic,,制限,,,,
jeygi,Objects and Concept,"the following, next",Sinitic,,次期/箚記,,,,
cici,Objects and Concept,"breasts (informal, infantile)",Koreo-Japonic,ko,젖,ja,ちち,,
ciciko,Objects and Concept,nipple,Koreo-Japonic,,cici + ko,,,,
cicimi,Objects and Concept,sparrow,Compound,ko,짹짹,jp,すずめ,,
jihongsyek,Quality,purple,Sinitic,,紫紅,,,,
cikcak,Objects and Concept,lizard,Compound,ms/id,cicak,lo,ជីងចក់,,
cimsang,Objects and Concept,bed,Sinitic,,寢床; 寢牀,,,,
cincet,Quality,"kind, friendly, nice (personality)",Sinitic,,親切,,,,
cingi,Objects and Concept,herder,Altaic,mn,малчин,ko,치기,jp,飼(か)う
cinyu,Objects and Concept,friend,Sinitic,,親友,,,,
cisyang,Action,stab,Sinitic,,刺傷,,,,
cit,Objects and Concept,"seven (compounds; see also ""sapta"")",Sinitic,,七,,,,
cita,Objects and Concept,mind,Sanskrit,,चित्त ,,(citta),,
cita ji beng,Objects and Concept,mental illness,Compound,,cita + bing,,,,
"citawidya, citawitya",Objects and Concept,psychology,Sanskrit,,चित्त + विद्या ,,(citta + vidyā),,
co,Objects and Concept,that,N/A,,,,,,
joba,Objects and Concept,"grandpa, grandfather",Sinitic,,祖父,,,,
jobama,Objects and Concept,"grandparents, elders",Sinitic,,祖父母,,,,
codi,Objects and Concept,there,Compound,,co + di,,,,
cok,Action,"poke, pick at (something), touch",Sinitic,,觸,,,,
cokcok,Action,"kiss, smooch, peck",Sound-based,,,,,,
joma,Objects and Concept,"grandma, grandmother",Sinitic,,祖母,,,,
cono,Objects and Concept,wolf,Altaic,mn,чоно,,,,
coy,Action,help (intentionally irregular),Sinitic,,助,,,,
cu,Action,"catch, grab, hunt",Sinitic,,取,,,,
cucut,Action,"take out, pluck, remove, delete",Sinitic,,取出,,,,
cutkow,Objects and Concept,exit,Sinitic,,出口,,,,
da,Quality,"more, many, a lot",Sinitic,,多,,,,
dadwan,Quality,short,Sinitic,,多短,,,,
daging,Objects and Concept,"flesh, muscle, meat",Austronesian,ms/id,daging,,,,
dagu,Objects and Concept,chin,Austronesian,ms/id,dagu,,,,
dajang,Quality,"tall, long",Sinitic,,多長,,,,
daksin,Quality,south,Sanskrit,,दक्षिण ,,(dákṣiṇa),,
dala,Objects and Concept,blood,Austronesian,ms/id,darah,,,,
dan,Particle,"but, however, still, only, (prevalant clause conjunction)",Sinitic,,但,,,,
danda,Objects and Concept,punishment; fine,Sanskrit,,दण्ड ,,(daṇḍá),,
danggwa,Objects and Concept,"candy, sweets",Sinitic,,糖菓,,,,
dasa,Objects and Concept,"ten (standalone; also see ""sip"")",Sanskrit,,दश,,dáśa,,
dawdat,Action,arrive,Sinitic,,到達,,,,
dawdaw,Objects and Concept,peach,Sinitic,,桃,,,,
dawgu,Objects and Concept,tools,Sinitic,,道具,,,,
dawlo,Objects and Concept,"street, road, path",Sinitic,,道路,,,,
dawmang,Action,"flee, run away, escape",Sinitic,,逃亡,,,,
day,Quality,"big, large",Sinitic,,大,,,,
day,Action,wait,Sinitic,,待,,,,
daygun,Objects and Concept,"archduke, prince consort, prince",Sinitic,,大君,,,,
dayhak,Objects and Concept,"college, university",Sinitic,,大學,,,,
dayho,Objects and Concept,lake; inland sea,Sinitic,,大湖,,,,
daysigwan,Objects and Concept,embassy,Sinitic,,大使館,,,,
dek,Particle,"like, as, (nominal adjective marker)",Sinitic,,的,,,,
dek-sap,Objects and Concept,"adjective, quality",Compound,,dek + sap,,,,
dekbet,Quality,"particular, special ",Sinitic,,特別,,,,
deng jeluk,Objects and Concept,"orange (fruit) (see ""jeluk"")",Compound,,,,,,
denghwangsyek,Quality,orange (color),Sinitic,,橙黃色,,,,
dengji,Action,"stop, end, cease, turn off",Sinitic,,停止,,,,
denba,Objects and Concept,electric waves,Sinitic,,電波,,,,
deydey,Objects and Concept,younger brother,Sinitic,,弟弟,,,,
digyu,Objects and Concept,earth (planet),Sinitic,,地球,,,,
ding'in,Quality,"cold, chilled",Austronesian,ms/id,dingin,,,,
dok,Action,read,Sinitic,,讀,,,,
dokta,Objects and Concept,doctor; someone with a doctrate degree,Western: English,en,doctor,,,,
dolong,Quality,"mud, dirty",Koreo-Japonic,ko,더러,ja,どろ,,
dong'i,Action,"to agree, to accept",Sinitic,,同意,,,,
dongdeng,Quality,"same, equal",Sinitic,,同等,,,,
dongmut,Objects and Concept,animal,Sinitic,,動物,,,,
dongmut'wan,Objects and Concept,zoo,Sinitic,,動物園,,,,
dosyog'wan,Objects and Concept,library,Sinitic,,圖書館,,,,
dowjek,Action,throw,Sinitic,,投擲,,,,
dowjek (ji) pisaw,Objects and Concept,spear,Compound,,dowjek + pisaw,,,,
downaw,Objects and Concept,brain,Sinitic,,頭腦,,,,
duka,Qual ,"Sad, painful, (emotionally) difficult, sorrowful",Sanskrit,,दुःख,,(duḥkhá),,
dwa,Objects and Concept,"two (stadalone; also see ""ni"")",Sanskrit,,द्व,,dvá,,
dyawyak,Action,jump,Sinitic,,跳躍,,,,
dyawmu,Action,dance,Sinitic,,跳舞,,,,
eka,Objects and Concept,"one (standalone; also see ""it"")",Sanskrit,,एक,,éka,,
yeknit,Objects and Concept,tomorrow,Sinitic,,翌日,,,,
em,Particle,(verbal/adjectival noun marker),Compound,ms/id,an,ko,임,,
em,Quality,"negative energy (also see ""yang"")",Sinitic,,陰,,,,
en'o,Objects and Concept,language,Sinitic,,言語,,,,
eng'ong,Objects and Concept,hero,Sinitic,,英雄,,,,
eng'wan,Quality,eternity,Sinitic,,永遠,,,,
eng'wan,Objects and Concept,forever,Sinitic,,永遠,,,,
enki,Objects and Concept,smoke,Sinitic,,煙氣,,,,
enmu,Objects and Concept,"mist, fog",Sinitic,,煙霧,,,,
fao bawang,Objects and Concept,green onions,Compound,,,,,,
biheng,Action,fly,Sinitic,,飛行,,,,
fone,Objects and Concept,bone,Koreo-Japonic,ko,뼈,,,,
fulansio,Objects and Concept,french (language),Compound,,,,,,
"fum, fumu",Quality,(Only for translations from Japanese) fluffy,Japanese,jp,もふ,,,,
fuwa,Quality,"soft, fluffy",Koreo-Japonic,ja,ふわふわ,,,,
ga'o,Objects and Concept,river,Koreo-Japonic,ko,개울,ja,かわ,,
gaji,Objects and Concept,"value, worth, price",Sinitic,,價值,,,,
gadek,Objects and Concept,"house, home",Sinitic,,家宅,,,,
gaja,Objects and Concept,elephant,Sanskrit,,गज ,,(gaja),,
gam,Objects and Concept,gold,Sinitic,,金,,,,
gam'ensya,,thank you,N/A,,,,,,
gamgak,Action,"feel, sense",Sinitic,,感覺,,,,
gamjiboti,Objects and Concept,Venus,Compound,,gam + hali,,,,
gamjihali,Objects and Concept,friday,Compound,,gam + hali,,,,
gamsya,Action,"thank, thanking",Sinitic,,感謝,,,,
gandan,Quality,"easy, simple",Sinitic,,簡單,,,,
ganglek,Quality,strong,Sinitic,,強力,,,,
ganitasata,Objects and Concept,math,Sanskrit,,गणित  + शास्त्र ,,(gaṇita + śāstra) ,,
gawgaw,Objects and Concept,high school,Sinitic,,高校,,,,
ge'im,Objects and Concept,game,Western: English,en,game,,,,
geli,Quality,almost,Koreo-Japonic,ko,거의,jp,ぎり,,
geng,Particle,through,Sinitic,,經,,,,
genki,Objects and Concept,(in context of media translated from Japanese) full-feeling; feeling good,Sinitic,,元氣,,,,
gimnit,Objects and Concept,today,Sinitic,,今日 ,,,,
gimsi,Objects and Concept,now,Sinitic,,今時,,,,
gimya,Objects and Concept,tonight,Sinitic,,今夜,,,,
ginjep,Quality,near,Sinitic,,近接,,,,
ginsi,Objects and Concept,recently,Sinitic,,近時,,,,
gisyut,Objects and Concept,technology,Sinitic,,技術,,,,
gonggek,Action ,to attack,Sinitic,,攻擊,,,,
gulu,Objects and Concept,thunder,Austronesian,ms/id,guluh,,,,
gulu,Objects and Concept,"teacher (also see ""senseng"")",Sanskrit,,गुरु,,(gurú),,
gwahan,Quality,"brave, courageous",Austroasiatic,th,กล้าหาญ,km,ហាន,lo,ກ້າ
ha'o,Quality,blue-green,Koreo-Japonic,ko,파란,ja,あお,,
habuk,Objects and Concept,dust,Austronesian,ms,habuk,,,,
haka,Quality,red,Koreo-Japonic,ko,빨간,ja,あか,,
hakdem,Objects and Concept,grade points (school),Sinitic,,學点,,,,
hakgi,Objects and Concept,"semester, trimester, term ",Sinitic,,學期,,,,
hakgip,Objects and Concept,class/grade (school),Sinitic,,學級,,,,
hakgaw,Objects and Concept,school,Sinitic,,學校 ,,,,
haksip,Action,"learn, study",Sinitic,,學習,,,,
haksyeng,Objects and Concept,"student (also see ""sisya"")",Sinitic,,學生,,,,
hali,Objects and Concept,"sun / day (standalone: also see ""nit"")",Austronesian,,,,,,
hali (ji) sikko,Objects and Concept,lunch,Compound,,,,,,
halimaw,Objects and Concept,tiger,Austronesian,ms/id,harimau,,,,
hang'at,Quality,"warm, hot",Austronesian,ms/id,hangat,,,,
hangha,Action,"to drop, fall",Sinitic,,降下,,,,
han'gok,Objects and Concept,korea,Sinitic,,韓國,,,,
han'gok'o,Objects and Concept,korean (language),Sinitic,,韓國語,,,,
haon,Objects and Concept,spring,Koreo-Japonic,ko,봄,ja,はる,,
hajeng,Objects and Concept,downstairs; lower class,Sinitic,,下層,,,,
hatay,Objects and Concept,heart,Austronesian,,,,,,
haw,Action,like,Sinitic,,好,,,,
haw,Quality,good; pleasing,Sinitic,,好,,,,
hayang,Quality,"fast, quick, early",Koreo-Japonic,ko,허영,ja,はやく,,
hayben,Objects and Concept,beach,Sinitic,,海邊,,,,
hayyang,Objects and Concept,ocean,Sinitic,,海洋,,,,
heksyek,Quality,black,Sinitic,,黑色,,,,
hem,Action,hate,Sinitic,,嫌,,,,
henday,Quality,modern,Sinitic,,現代,,,,
heng,Action,to do; to go,Sinitic,,行,,,,
heng-sap,Objects and Concept,"action, verb",Compound,,heng + sap,,,,
hengdey,Objects and Concept,"brothers, siblings in general",Sinitic,,兄弟,,,,
hengdong,Objects and Concept,"action, move, behavior",Sinitic,,行動,,,,
heng,Objects and Concept,older brother,Sinitic,,兄兄,,,,
heng,Objects and Concept,shape,Sinitic,,形態 ,,,,
hengtay,Objects and Concept,reality,Sinitic,,現實,,,,
heta'e,Quality,"down, below, under",Koreo-Japonic,ko,밑,ja,した,,
hi,Particle,"causative verb marker, where the subject causes the indirect object to perform the action to the direct object",Koreo-Japonic,ko,C+이,jp,され,,
hidong,Objects and Concept,nose,Austronesian,ms,idung,tl,hilong,,
hima,Objects and Concept,snow,Sanskrit,,हिम,,(himá),,
hensit,Action,hope,Sinitic,,希望,,,,
hing,Quality,white,Koreo-Japonic,ko,하얀,ja,しろ,,
hing bawang,Objects and Concept,onions,Compound,,hing + bawang,,,,
ho,Action,call,Sinitic,,呼,,,,
hojaw,Objects and Concept,pond; swamp,Sinitic,,湖沼,,,,
hohip,Action,"breathe, breath",Sinitic,,呼吸,,,,
hok,Particle,"or, (alternative clause conjunction)",Sinitic,,或,,,,
holi,Objects and Concept,ice,Koreo-Japonic,ko,얼음,ja,こおり,,
holi ujan,Objects and Concept,hail,Compound,,holi + ujan,,,,
hongsyek,Quality,red,Sinitic,,紅色,,,,
honi,Objects and Concept,sheep; goat,Altaic,mn,хонь,,,,
honlwan,Objects and Concept,chaos,Sinitic,,混亂,,,,
howhway,Action,regret,Sinitic,,後悔,,,,
hoytak,Objects and Concept,snail/slug,Austroasiatic,th,หอยทาก,lo,ຫອຍ+ທາກ,,
hoyul,Objects and Concept,winter,Koreo-Japonic,ko,여울,ja,ふゆ,,
huca,Objects and Concept,grass,Koreo-Japonic,ko,풀,ja,くさ,,
hujan,Objects and Concept,rain,Austronesian,ms/id,hujan,,,,
hutan,Objects and Concept,forest,Austronesian,ms/id,hutan,,,,
hwa,Particle,"and, (clause integrating conjunction)",Sinitic,,和,,,,
hwan'eng,Action,"welcome, reception",Sinitic,,歡迎 ,,,,
hwang jeluk,Objects and Concept,"lemon (fruit) (see ""jeluk"")",Compound,,,,,,
hwangsyek,Quality,yellow,Sinitic,,黃色,,,,
hwaybi,Action,"hide, avoid",Sinitic,,回避,,,,
hwayko,Action,"to go back, to return",Sinitic,,回去,,,,
hwaylay,Action,"to come back, to return",Sinitic,,回來,,,,
hwaymen,Objects and Concept,screen,Sinitic,,畵面,,,,
hwaysyek,Quality,grey,Sinitic,,灰色,,,,
hwaydap,Action,"answer, reply",Sinitic,,回答,,,,
hwetgwan,Objects and Concept,blood vessels,Sinitic,,血管,,,,
hyusyek,Action,rest,Sinitic,,休息,,,,
i,Particle,"and, (clause coordiating conjunction)",Sinitic,,而,,,,
imi,Objects and Concept,meaning,Sinitic,,意味,,,,
ibilisi,Objects and Concept,demon; being of evil,Arabic,ar,ʾiblīs ,,,,
ibok,Objects and Concept,"clothing, clothes",Sinitic,,衣服,,,,
idong,Action,move,Sinitic,,移動,,,,
ifa,Objects and Concept,leaf,Koreo-Japonic,ko,잎,ja,は,,
ihengdey,Objects and Concept,cousins,Sinitic,,異兄弟,,,,
ikan,Objects and Concept,fish,Austronesian,ms/id,ikan,,,,
im'ak,Objects and Concept,music,Sinitic,,音樂,,,,
imdaw,Objects and Concept,vagina (anatomy),Sinitic,,陰道,,,,
imlyaw,Objects and Concept,"drink, beverage",Sinitic,,飲料,,,,
ima,Objects and Concept,aunt,Sinitic,,異母,,,,
imsyeng,Objects and Concept,sound,Sinitic,,音聲,,,,
indonesyao,Objects and Concept,indonesian (language),Compound,,,,,,
inglisio,Objects and Concept,english (language),Compound,,,,,,
inha,Objects and Concept,the milky way; our galaxy,Sinitic,,銀河,,,,
intanet,Objects and Concept,internet,Western: English,en,internet,,,,
ibu,Objects and Concept,uncle,Sinitic,,異父,,,,
isi,Objects and Concept,medical doctor,Sinitic,,醫士,,,,
it,Objects and Concept,"one (compounds; also see ""eka"")",Sinitic,,一,,,,
jaket,Objects and Concept,jacket,Western: English,en,jacket,,,,
jangdwan,Objects and Concept,length; height,Sinitic,,長短,,,,
janggut,Objects and Concept,beard,Austronesian,ms,jenggot,id,janggut,,
jay,Action,to be (at a place),Sinitic,,在,,,,
jeluk,Objects and Concept,citrus fruit,Compound,id/jv,jeruk,,,,
jwenba,Action,disseminate; broadcast; transmit,Sinitic,,傳播,,,,
ji,Particle,"s, of, (posession marker), (genitive)",Sinitic,,之,,,,
ji,Particle,-ing (verbal adjective marker),Sinitic,,之,,,,
jiji,Objects and Concept,older sister,Sinitic,,姉姉,,,,
jicwenca,Objects and Concept,bicycle,Sinitic,,自轉車,,,,
jik'ep,Action,"work, job, career",Sinitic,,職業,,,,
jikjep,Quality,directly,Sinitic,,直接,,,,
jiksen,Quality,straight,Sinitic,,直線,,,,
jik'wi,Action,ascend (to the throne),Sinitic,,卽位,,,,
jilyaw,Action,"heal, fix",Sinitic,,治療,,,,
jimay,Objects and Concept,sisters,Sinitic,,姉妹,,,,
jitmun,Action,ask,Sinitic,,質問,,,,
jekmut,Objects and Concept,cloth,Sinitic,,織物,,,,
jinam,Objects and Concept,son,Sinitic,,子男,,,,
jinen,Quality,"nature, natural",Sinitic,,自然,,,,
jengki,Objects and Concept,steam,Sinitic,,蒸氣,,,,
jinsit,Quality,"true,  truth; truly, really; absolute truth",Sinitic,,眞實,,,,
jinyo,Objects and Concept,daughter,Sinitic,,子女,,,,
jipay,Action,to rule (over),Sinitic,,支配,,,,
jisin,Objects and Concept,self,Sinitic,,自身,,,,
citsyek,Action,"choke, choking; suffocate; asphyxia",Sinitic,,窒息,,,,
jiyu,Objects and Concept,freedom,Sinitic,,自由,,,,
jeng,Objects and Concept,floors (of a building),Sinitic,,層,,,,
jonggaw,Objects and Concept,religion,Sinitic,,宗敎,,,,
jongyaw,Quality,important ,Sinitic,,重要,,,,
jonjay,Action,exist,Sinitic,,存在,,,,
ju,Objects and Concept,week,Sinitic,,週,,,,
jucong,Objects and Concept,weekday,Sinitic,,週中,,,,
jumat,Objects and Concept,weekend,Sinitic,,週末,,,,
junbi,Action,"prepare, get ready",Sinitic,,準備,,,,
cung,Quality,middle,Sinitic,,中,,,,
cunggok'o,Objects and Concept,chinese (language),Sinitic,,中國語,,,,
cunggok,Objects and Concept,china,Sinitic,,中國,,,,
jongji,Objects and Concept,seed,Sinitic,,種子,,,,
jot'ep,Action,graduate (school),Sinitic,,卒業,,,,
jwa,Action,sit,Sinitic,,坐,,,,
jway'ay,Quality,favorite,Sinitic,,最愛,,,,
jwaygaw,Quality,"most, highest",Sinitic,,最高,,,,
jwaygin,Objects and Concept,"recently, lately",Sinitic,,最近,,,,
jwayhow,Objects and Concept,"last, final, conclusion, end",Sinitic,,最後,,,,
kacang,Objects and Concept,"nut, peanut",Austronesian,ms/id,kacang,,,,
kaday,Objects and Concept,"store, shop",Austronesian,ms/in,kedai,,,,
kaki,Objects and Concept,feet,Austronesian,ms/id,kaki,,,,
kaki (ji) kuku,Objects and Concept,toe nails,Compound,,,,,,
kaki(kubi),Objects and Concept,ankle,Compound,,,,,,
kaki(uwe),Objects and Concept,legs,Compound,th,ขา ,ms/id,kaki ,,
kakiko,Objects and Concept,toes,Compound,,kaki + ko,,,,
kaknin,Action,check (something),Sinitic,,確認,,,,
kala bawang,Objects and Concept,garlic,Compound,,,,,,
kalakala,Quality,spicy,Koreo-Japonic,ko,칼칼,ja,から,,
kalapipal,Objects and Concept,chile pepper,Compound,,,,,,
kama,Objects and Concept,pot,Koreo-Japonic,ko,가마,ja,かま,,
kambing,Objects and Concept,goat,Austronesian,ms/id,kambing,tl,kambing,,
kamela,Objects and Concept,camera,Western: English,en,camera,,,,
kamisa,Objects and Concept,"shirt, top",Western: Spanish,es,camiseta,,(via Tagalog),,
kampeng,Objects and Concept,wall,Austroasiatic,th,กำแพง,km,កំពែង,,
kamwi,Objects and Concept,god (polytheism); being of good,Koreo-Japonic,ko,검 (archaic),jp,かみ,,
kana,Objects and Concept,"Japanese kana, syllabary",Koreo-Japonic,ja,かな,,,,
kanbeng,Action,"take care of, nurse",Sinitic,,看病,,,,
kang,Quality,"beside, near, next to",Austroasiatic,th,ข้าง,lo,ຂ້າງ,,
kapala,Objects and Concept,"head, skull",Sanskrit,,कपाल ,,(kapā́la),,
katak,Objects and Concept,frog/toad,Austronesian,ms/id,katak,tl,palaka,,
kaw'i,Objects and Concept,"chair, seat",Austroasiatic,th,เก้าอี้,lo,ເກົ້າອີ້,km,កៅអី 
kawaca,Objects and Concept,shield,Compound,,,tl,,,
kaybang,Action,open,Sinitic,,開放,,,,
kaynem,Objects and Concept,"idea, concept, noun, Objects and Concept",Sinitic,,槪念,,,,
